Year,Country,Brand,Model,Battery_kWh,Range_km,Motor_Power_kW,Weight_kg,Price_USD,Charging_Stations,Sales,Govt_Incentive_USD
2016,China,Tata,Nexon EV,69.9,332,135,1789,33741,50789,1520,1200
2018,USA,Hyundai,Kona Electric,50.6,353,117,1509,36758,36337,1478,900
2022,India,Tata,Nexon EV,39.7,381,88,1387,26752,3473,1832,600
2019,Germany,Tesla,Model S,49.1,268,101,1367,65866,33699,1018,810
2024,Germany,Audi,e-tron,59.7,490,87,1793,54986,48335,3072,360
2019,Netherlands,BYD,Atto 3,74.8,451,154,1651,53988,9289,1331,810
2016,UK,Mahindra,XUV EV,66.9,430,80,1715,33525,15515,1370,1080
2021,China,BYD,Atto 3,43.2,213,77,1645,43041,79446,1551,700
2021,USA,Chevrolet,Bolt EV,76.3,412,193,1664,45413,48180,3084,630
2017,Norway,Nissan,Ariya,59.3,323,165,1103,40942,9005,179,990
2016,Netherlands,MG,MG5,55.6,360,121,1912,34477,7457,883,1080
2022,USA,Audi,e-tron,49.4,240,114,1617,55950,51403,780,540
2021,Japan,Audi,Q4 e-tron,65.9,388,139,1648,63056,35028,807,630
2017,India,Hyundai,Ioniq 6,56.8,351,125,1997,42171,1280,701,1100
2020,USA,Tata,Nexon EV,61.2,360,196,1595,31459,44971,2991,720
2022,China,Hyundai,Kona Electric,75.8,660,124,1957,51870,85504,5071,600
2021,UK,BMW,iX,62,350,108,1325,65390,23540,1170,630
2019,China,MG,MG5,44.3,366,78,1745,33971,67196,2934,900
2018,Australia,BYD,e6,65.2,557,153,1398,53035,5085,1138,900
2018,Netherlands,BYD,e6,46.4,390,99,1647,46032,8084,1158,900
2024,Germany,Renault,Twizy,40.5,328,104,1803,34047,49411,4314,360
2016,Germany,Tata,Tigor EV,55.1,404,87,1437,30766,25138,1493,1080
2022,China,Tesla,Model X,60.3,268,164,1577,71449,85464,791,600
2021,Germany,Nissan,Leaf,55.5,326,132,1711,37134,39776,2609,630
